gt_class_id,gt_class_name,pred_class_id,pred_class_name,pixels,rate_within_gt_class
2,building,8,vegetation,1777294,0.05627911138931819
8,vegetation,2,building,1466384,0.03255161326148192
1,sidewalk,0,road,1415558,0.11890119803482978
10,sky,8,vegetation,1314501,0.022916804357707665
8,vegetation,10,sky,1225356,0.02720113873285336
0,road,1,sidewalk,1212205,0.03400509530111665
4,fence,2,building,681191,0.20723670900594124
4,fence,8,vegetation,550914,0.16760292532534798
2,building,10,sky,500532,0.015849654689611404
9,terrain,8,vegetation,444345,0.18298498464366636
8,vegetation,9,terrain,390351,0.008665230109052425
8,vegetation,4,fence,381980,0.008479405962981636
10,sky,2,building,356441,0.006214136514210091
2,building,4,fence,351959,0.011144998950918103
9,terrain,1,sidewalk,348323,0.14344232253324735
3,wall,2,building,300368,0.10781168847716995
1,sidewalk,9,terrain,291874,0.024516246084736838
4,fence,3,wall,282938,0.08607738501055212
5,pole,2,building,280815,0.14428227257103132
2,building,3,wall,269436,0.008531857225812012
3,wall,4,fence,267188,0.09590232455134397
3,wall,8,vegetation,261217,0.09375914154950228
3,wall,1,sidewalk,243460,0.0873855859367569
14,truck,2,building,233719,0.326912182888091
5,pole,8,vegetation,221699,0.11390857164583472
1,sidewalk,3,wall,206613,0.017354663835441774
8,vegetation,3,wall,158400,0.003516251909880861
2,building,5,pole,147629,0.004674763396091842
8,vegetation,5,pole,147063,0.0032645868347399563
7,traffic_sign,2,building,146706,0.2562134011418232
