class_id,class_name,gt_pixels,pred_pixels,true_positive,false_positive,false_negative,iou,recall,precision,class_error_rate_gt_missed,boundary_pixels,boundary_error_pixels,boundary_error_rate,dynamic_to_background_rate
12,rider,17175,9979,6666,3313,10509,0.32536118703631395,0.38812227074235806,0.668002805892374,0.611877729257642,8437,5287,0.6266445418987792,0.10561863173216884
4,fence,3287019,2751492,2025008,726484,1262011,0.5045487694913895,0.6160621523635854,0.7359672497684893,0.38393784763641464,440898,236903,0.5373192892687197,nan
17,motorcycle,65043,55122,41687,13435,23356,0.5311934554907107,0.6409144719647003,0.756267914807155,0.35908552803529975,20940,9710,0.46370582617000955,0.16455268053441569
9,terrain,2428314,2036087,1571863,464224,856451,0.5434200000138287,0.6473063203523103,0.7720018840059388,0.3526936796476897,554053,272864,0.49248718082927084,nan
18,bicycle,157578,157221,119784,37437,37794,0.6142296746404122,0.7601568746906294,0.761882954567138,0.2398431253093706,45736,20331,0.4445294735000875,0.2123012095597101
3,wall,2786043,2906479,2123075,783404,662968,0.5947910138461224,0.762039566510639,0.730462872774928,0.23796043348936108,475152,212679,0.44760203050813213,nan
7,traffic_sign,572593,536348,441436,94912,131157,0.661322387098224,0.7709420129131862,0.8230402649026378,0.22905798708681385,203446,73205,0.359825211604062,nan
5,pole,1946289,2039102,1542952,496150,403337,0.6317259100431987,0.7927661308264086,0.7566821081044499,0.20723386917359138,1049108,294397,0.28061648562397773,nan
11,person,318131,314440,252579,61861,65552,0.6646955725383692,0.7939465188868736,0.8032661239028114,0.20605348111312635,111687,34188,0.30610545542453466,0.15859818753909552
14,truck,714929,667450,623571,43879,91358,0.8217770503210299,0.8722138841759112,0.9342587459734811,0.12778611582408883,59091,30082,0.5090792168012049,0.06972580494007097
6,traffic_light,357236,372368,316235,56133,41001,0.7650186637120829,0.8852271327637752,0.8492539638207365,0.11477286723622479,128307,30134,0.2348585813712424,nan
1,sidewalk,11905330,11759236,10664224,1095012,1241106,0.820303342788982,0.8957520707111857,0.906880685105733,0.10424792928881434,1605707,529941,0.33003592809896204,nan
15,bus,933656,884544,858992,25552,74664,0.8955221390980893,0.9200305037401355,0.9711127993632878,0.07996949625986445,48121,20155,0.4188400074811413,0.06127631590221666
2,building,31579994,31561810,29555171,2006639,2024823,0.8799682599920033,0.9358827300600501,0.9364219289071191,0.06411726993994996,2645654,741737,0.28036054601244154,nan
8,vegetation,45047967,45414766,42181780,3232986,2866187,0.8736733096382749,0.9363747758028681,0.9288120079711519,0.06362522419713192,4196802,961539,0.22911230980160607,nan
16,train,1284220,1278648,1211967,66681,72253,0.8971545657305754,0.9437378330815592,0.9478503857199166,0.05626216691844076,77111,26134,0.33891403301733863,0.03454392549563159
13,car,3515628,3671471,3359338,312133,156290,0.877624804683469,0.9555442157133803,0.9149842120501565,0.04445578428661963,515746,87820,0.1702776172767215,0.03488366801038108
10,sky,57359699,57600772,56141675,1459097,1218024,0.954485280521553,0.9787651605354484,0.974668794369631,0.021234839464551583,2422650,497078,0.20517945225269849,nan
0,road,35647746,35907255,35052430,854825,595316,0.9602729079001038,0.9833000381005856,0.97619352969198,0.01669996189941434,1169589,283502,0.24239455056434353,nan
